Country Name,Code,2013,2014,2015,2016,2017,2018,2019,Region
Cabo Verde,CPV,1850470042.43281,1859898513.26858,1596800287.16405,1662998677.88425,1768319144.00218,1966503222.76759,1981845740.70615,Africa
Costa Rica,CRI,50949672205.8222,52016408950.8398,56441917653.0156,58847016044.8244,60516043590.1924,62420165099.7301,64072870931.603,North America
Caribbean small states,CSS,73345409463.9086,74470922980.3425,73243299833.0016,69598702057.8724,71693634217.0543,75312833438.1826,76173669481.1443,North America
Cuba,CUB,77148000000.0,80656000000.0,87133000000.0,91370000000.0,96851000000.0,100050000000.0,103428000000.0,North America
Curacao,CUW,3147616201.11732,3158406033.51955,3151910782.1229,3122287932.96089,3116610111.73184,3127908044.69274,3101787709.49721,North America
Cayman Islands,CYM,4405954638.18553,4563017880.71523,4708336733.46934,4909498979.9592,5166467298.69195,5522625585.0234,5935769350.77403,North America
Cyprus,CYP,23900872625.8467,23156850006.6427,19842404304.8929,20953442550.3653,22870833709.8961,25522671232.8767,25758357774.5438,Europe
Czech Republic,CZE,211685616592.931,209358834156.329,188033050459.881,196272068576.338,218628940951.675,248950103352.137,252498032247.163,Europe
Germany,DEU,3732743446218.92,3883920155292.26,3356235704119.75,3467498002104.33,3681732583768.5,3975347237442.99,3888326788627.44,Europe
Djibouti,DJI,2042817162.85639,2214679081.25658,2430274292.2896,2603540256.91955,2751445573.68009,3012803457.10411,3324615549.09099,Africa
Dominica,DMA,498296296.296296,520207407.407407,540737037.037037,576229629.62963,519837037.037037,550622222.222222,611537037.037037,North America
Denmark,DNK,343584391647.927,352993631617.708,302673070846.857,313115929314.339,332121063806.391,356841216410.068,347561349210.979,Europe
Dominican Republic,DOM,62682163837.347,67179914026.9623,71164825256.6849,75704720189.5607,79997975621.8654,85555378042.8196,88941299733.5018,North America
Algeria,DZA,209755003250.664,213810024944.464,165979279263.174,160034163871.455,170097014589.134,174910878623.049,171767403748.19,Africa
East Asia & Pacific (excluding high income),EAP,11828349008693.6,12751243799677.6,13281198366371.3,13560237634379.5,14819322198962.2,16574964993617.6,17135404533968.4,
Early-demographic dividend,EAR,10250908279248.5,10603415111975.0,10082377974481.9,10307820454608.6,11137608724945.9,11214753522578.3,11527336323652.6,
East Asia & Pacific,EAS,21367649737241.0,22038396030947.8,21951401205501.8,22720684963608.3,24268504216073.0,26416317598842.3,26981455514224.5,
Europe & Central Asia (excluding high income),ECA,4341022815353.31,4045786134160.93,3099131447149.27,2965857286860.64,3329876408661.55,3423986143967.44,3493926388854.03,
Europe & Central Asia,ECS,23477452103178.9,23793962374648.4,20508597009691.0,20445552705800.9,21648851652556.4,23217309660002.3,22934004820241.6,
Ecuador,ECU,95129659000.0,101726331000.0,99290381000.0,99937696000.0,104295862000.0,107562008000.0,108108009000.0,South America
